x,y
-1.080882353,0
-1.056372549,0.000188679
-1.012254902,0.000754717
-0.992647059,0.000754717
-0.955882353,0.001320755
-0.924019608,0.001320755
-0.889705882,0.001132075
-0.870098039,0.001698113
-0.833333333,0.002264151
-0.803921569,0.00245283
-0.772058824,0.00245283
-0.740196078,0.002830189
-0.715686275,0.002830189
-0.678921569,0.003396226
-0.642156863,0.003396226
-0.620098039,0.004150943
-0.588235294,0.004528302
-0.558823529,0.00509434
-0.526960784,0.005660377
-0.495098039,0.006037736
-0.468137255,0.006415094
-0.431372549,0.006792453
-0.406862745,0.00754717
-0.37254902,0.008301887
-0.343137255,0.008679245
-0.31372549,0.009622642
-0.281862745,0.010377358
-0.25245098,0.011320755
-0.223039216,0.012075472
-0.18627451,0.012830189
-0.156862745,0.014528302
-0.137254902,0.01490566
-0.100490196,0.016415094
-0.075980392,0.017924528
-0.039215686,0.018867925
-0.019607843,0.020377358
0.017156863,0.022264151
0.041666667,0.022830189
0.06372549,0.023962264
0.098039216,0.025660377
0.117647059,0.026603774
0.139705882,0.027924528
0.176470588,0.029433962
0.215686275,0.031320755
0.237745098,0.032264151
0.269607843,0.033962264
0.303921569,0.035849057
0.328431373,0.036603774
0.355392157,0.037735849
0.382352941,0.039056604
0.411764706,0.041320755
0.431372549,0.042641509
0.455882353,0.04490566
0.477941176,0.047924528
0.492647059,0.049622642
0.517156863,0.051886792
0.541666667,0.054339623
0.56127451,0.056226415
0.583333333,0.058867925
0.600490196,0.061509434
0.62254902,0.063207547
0.642156863,0.065471698
0.666666667,0.068113208
0.68872549,0.070188679
0.708333333,0.072830189
0.727941176,0.074716981
0.740196078,0.076415094
0.774509804,0.078867925
0.791666667,0.081132075
0.81372549,0.083207547
0.835784314,0.085660377
0.852941176,0.087924528
0.870098039,0.090188679
0.892156863,0.093207547
0.909313725,0.09490566
0.924019608,0.09754717
0.948529412,0.099433962
0.963235294,0.101886792
0.977941176,0.104150943
0.995098039,0.106415094
1.014705882,0.108867925
1.022058824,0.111132075
1.026960784,0.113396226
1.036764706,0.115660377
1.06127451,0.12
1.075980392,0.122641509
1.083333333,0.124716981
1.088235294,0.12754717
1.098039216,0.13
1.117647059,0.134339623
1.120098039,0.131886792
1.132352941,0.136037736
1.134803922,0.143018868
1.137254902,0.138301887
1.139705882,0.141132075
1.144607843,0.147924528
1.149509804,0.145471698
1.156862745,0.150188679
